execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
23;1599726305;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);368531;;
24;1599726315;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;vectorAL(1);7922;;
24;1599726316;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(1);458869;;
25;1599726317;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csr();280;;
25;1599726319;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2600249;;
26;1599726328;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,0);339;;
26;1599726331;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,0);3155331;;
27;1599726415;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,1);397;;
27;1599726419;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,1);3682071;;
28;1599726423;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(32,0);312;;
28;1599726426;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(32,0);2593220;;
29;1599726428;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(64,0);308;;
29;1599726431;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(64,0);2587116;;
30;1599726433;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(128,0);303;;
30;1599726436;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(128,0);2597335;;
31;1599726438;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(10000000,0);313;;
31;1599726440;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(10000000,0);2640209;;
32;1599726516;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(10000000,1);269;;
32;1599726519;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(10000000,1);3097465;;
33;1599726599;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;mallocAL(1);510;;
33;1599726603;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;mallocAL(1);3679550;;
34;1599726612;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;mallocAL(0);534;;
34;1599726615;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;mallocAL(0);3161869;;
35;1599726621;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;vectorAL(0);556;;
35;1599726624;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(0);3193640;;
36;1599726703;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;vectorAL(1);565;;
36;1599726706;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(1);3720987;;
37;1599726707;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csr();588;;
37;1599726707;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csr();57943;;
38;1599726707;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,0);648;;
38;1599726707;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,0);73813;;
39;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,1);707;;
39;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,1);75763;;
40;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(32,0);553;;
40;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(32,0);66774;;
41;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(64,0);545;;
41;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(64,0);64656;;
42;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(128,0);523;;
42;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(128,0);63742;;
43;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(10000000,0);547;;
43;1599726710;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(10000000,0);63043;;
44;1599726713;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(10000000,1);547;;
44;1599726713;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(10000000,1);65762;;
45;1599726715;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;mallocAL(1);1305;;
45;1599726715;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;mallocAL(1);77573;;
46;1599726716;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;mallocAL(0);1219;;
46;1599726716;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;mallocAL(0);75855;;
47;1599726716;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;vectorAL(0);1259;;
47;1599726716;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);79959;;
48;1599726718;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;vectorAL(1);1302;;
48;1599726718;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(1);81705;;
49;1599726720;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csr();2281;;
49;1599726720;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csr();344356;;
50;1599726722;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(0,0);2522;;
50;1599726722;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(0,0);372479;;
51;1599726732;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(0,1);3228;;
51;1599726733;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(0,1);440610;;
52;1599726735;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(32,0);2527;;
52;1599726735;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(32,0);359871;;
53;1599726737;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(64,0);2503;;
53;1599726737;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(64,0);358727;;
54;1599726739;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(128,0);2538;;
54;1599726739;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(128,0);353273;;
55;1599726740;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(10000000,0);2542;;
55;1599726741;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(10000000,0);344584;;
56;1599726751;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;csrMallocAL(10000000,1);3326;;
56;1599726751;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;csrMallocAL(10000000,1);431838;;
57;1599726761;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;mallocAL(1);7388;;
57;1599726762;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;mallocAL(1);431944;;
58;1599726763;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;mallocAL(0);6008;;
58;1599726764;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;mallocAL(0);378427;;
59;1599726766;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;vectorAL(0);6843;;
59;1599726766;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);371813;;
60;1599726776;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;vectorAL(1);8094;;
60;1599726776;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(1);456353;;
