execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
79;1601293679;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;vectorAL(0);97607;;
80;1601293679;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);103102;;
80;1601293679;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(32,0);399893;;
80;1601293680;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(32,0);114311;;
81;1601293680;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);88406;;
81;1601293680;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(64,0);346889;;
81;1601293680;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(64,0);96871;;
82;1601293681;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);83628;;
82;1601293681;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(128,0);324146;;
82;1601293681;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(128,0);87761;;
83;1601293681;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);82959;;
83;1601293682;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(248,0);342120;;
83;1601293682;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(248,0);87695;;
84;1601293683;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(512,0);85888;;
84;1601293683;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;insert;bllAL(512,0);361046;;
84;1601293683;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;bllAL(512,0);88811;;
85;1601293685;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);401530;;
85;1601293686;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;vectorAL(0);693444;;
85;1601293686;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);438752;;
86;1601293691;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(32,0);919255;;
86;1601293740;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(32,0);49740211;;
86;1601293741;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(32,0);1073776;;
87;1601293745;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(64,0);677572;;
87;1601293768;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(64,0);23022397;;
87;1601293769;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(64,0);770407;;
88;1601293772;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(128,0);573987;;
88;1601293783;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(128,0);11616736;;
88;1601293784;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(128,0);637284;;
89;1601293787;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(248,0);484786;;
89;1601293794;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(248,0);7601822;;
89;1601293795;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(248,0);551587;;
90;1601293798;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(512,0);445966;;
90;1601293804;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;insert;bllAL(512,0);6622432;;
90;1601293805;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;bllAL(512,0);482980;;
91;1601293813;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(0);3529492;;
91;1601293814;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;vectorAL(0);903689;;
91;1601293818;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(0);4072216;;
92;1601293826;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(32,0);3537043;;
92;1601294422;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;insert;bllAL(32,0);595728545;;
92;1601294426;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;bllAL(32,0);3996900;;
